Open High,Open Mixed,Partially Blocked High,Partially Blocked Mixed
8,7,3,9
8,6,11,7
8,4,9,12
8,5,4,8
11,5,10,8
9,7,6,9
12,6,2,6
6,4,3,8
13,6,6,6
13,10,6,7
14,4,3,3
10,5,9,10
9,4,7,9
7,4,9,10
8,6,4,10
11,6,6,5
13,5,8,8
7,4,4,8
10,3,3,5
8,5,1,12
14,6,9,2
8,5,8,3
7,4,4,7
9,3,1,7
6,6,3,10
5,9,11,7
9,3,4,6
8,6,7,9
8,3,4,11
9,5,9,9
5,5,6,6
12,9,11,9
10,5,6,8
11,4,6,10
4,11,7,3
3,6,5,10
12,4,11,9
4,6,4,12
9,3,6,6
11,7,10,11
8,6,9,9
9,6,10,4
14,9,7,6
6,6,10,10
9,6,8,6
7,5,9,7
9,6,7,10
15,5,5,11
11,6,6,14
7,8,4,8
9,6,8,7
7,8,3,7
14,9,7,8
5,5,6,8
9,7,3,10
7,5,4,3
9,4,7,10
10,8,4,11
14,5,7,1
6,3,12,7
10,4,6,10
13,1,8,10
10,7,4,8
11,5,4,10
1,10,7,10
7,6,5,9
9,7,7,10
11,10,11,7
7,7,8,8
10,6,3,9
