Open High Ability,Open Mixed Ability,Partially Blocked High Ability,Partially Blocked Mixed Ability
100,88.8889,100,7.1429
21.4286,23.8095,78.4091,100
85.7143,50,41.6667,100
100,41.6667,66.6667,100
32.5,88.8889,100,100
63.6364,50,100,87.5
47.7778,26.6667,100,100
72.7273,41.6667,33.3333,100
17.1429,83.3333,57.1429,100
45.8333,35,100,50
75,30,100,100
91.6667,66.6667,38.0952,100
11.1111,7.1429,45.8333,100
92.8571,0,80,100
90,90,66.6667,100
25,26.6667,50,100
85.7143,33.3333,100,66.6667
40.2778,100,25,100
71.4286,85.7143,100,16.6667
10.101,100,100,100
100,100,58.9286,100
51.3889,33.3333,100,100
44.6154,0,100,100
100,100,33.3333,100
41.2698,17.1429,77.7778,100
80.9091,70,90,100
93.75,66.6667,25,100
62.5,7.1429,100,88.8889
100,0,41.6667,100
40,60,100,100
60.9091,0,100,100
46.0317,100,100,100
33.9286,16.6667,67.7778,100
26.9841,100,100,100
57.7778,17.1429,41.6667,100
86.6667,100,100,100
47.5,45.8333,50,66.6667
100,60,23.6364,16.6667
76.6234,16.6667,100,75
36.6667,33.3333,85.7143,100
5.5556,35,100,100
0,14.2857,100,100
100,60,42.5,100
28.2051,66.6667,100,100
100,29.1667,100,100
48.4848,33.3333,50,100
80,37.1429,100,100
44.4444,45.8333,33.3333,100
13.8462,66.6667,100,100
67.8322,29.1667,100,100
30.303,100,100,100
42.5,100,12.5,100
93.3333,100,100,100
75,85.7143,83.3333,100
50,52.381,100,100
87.5,80,75,100
92.3077,100,100,100
55.303,41.4286,100,88.8889
63.4921,100,100,100
100,17.1429,41.6667,100
73.4848,10,100,100
100,58.3333,80,100
4.5455,80,44.6429,100
77.7778,50,100,100
50,16.6667,100,100
53.3333,69.0476,60,100
13.8889,100,52.381,75
7.1429,54.7619,26.6667,100
10,54.5455,33.3333,100
100,20,85.7143,100
